,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
10,,EQ,13-Feb-2023,"2,804.60","2,814.50","2,829.00","2,780.00","2,787.00","2,790.75","2,796.08","4,67,228","1,30,64,07,661.25","42,088","2,41,398",51.67,ASIANPAINT
11,,EQ,14-Feb-2023,"2,790.75","2,804.75","2,804.75","2,765.00","2,774.70","2,777.00","2,778.33","5,24,746","1,45,79,18,190.95","54,815","2,94,764",56.17,ASIANPAINT
12,,EQ,15-Feb-2023,"2,777.00","2,777.00","2,798.30","2,754.00","2,798.30","2,786.15","2,778.03","8,17,717","2,27,16,43,266.30","59,459","4,96,051",60.66,ASIANPAINT
13,,EQ,16-Feb-2023,"2,786.15","2,797.00","2,834.35","2,790.10","2,807.90","2,805.95","2,816.00","7,88,964","2,22,17,21,585.55","52,282","3,99,490",50.63,ASIANPAINT
14,,EQ,17-Feb-2023,"2,805.95","2,802.95","2,845.85","2,785.50","2,838.00","2,833.60","2,829.62","8,40,526","2,37,83,70,056.25","51,975","3,77,343",44.89,ASIANPAINT
15,,EQ,20-Feb-2023,"2,833.60","2,845.00","2,852.00","2,812.10","2,829.80","2,825.55","2,826.45","6,46,218","1,82,65,01,996.25","48,252","3,24,344",50.19,ASIANPAINT
16,,EQ,21-Feb-2023,"2,825.55","2,837.00","2,838.70","2,805.00","2,820.00","2,817.10","2,813.63","6,31,934","1,77,80,26,077.80","49,982","3,22,742",51.07,ASIANPAINT
17,,EQ,22-Feb-2023,"2,817.10","2,809.95","2,813.95","2,780.00","2,797.90","2,795.95","2,794.79","5,80,270","1,62,17,30,913.85","48,375","3,19,334",55.03,ASIANPAINT
18,,EQ,23-Feb-2023,"2,795.95","2,805.00","2,805.55","2,700.10","2,707.00","2,705.95","2,728.66","17,90,570","4,88,58,53,128.20","1,52,617","9,86,285",55.08,ASIANPAINT
19,,EQ,24-Feb-2023,"2,705.95","2,712.10","2,762.00","2,710.00","2,741.40","2,738.50","2,742.98","14,29,040","3,91,98,26,414.50","76,267","7,70,935",53.95,ASIANPAINT
20,,EQ,27-Feb-2023,"2,738.50","2,740.40","2,758.65","2,725.05","2,755.00","2,749.90","2,744.49","5,61,317","1,54,05,28,334.75","48,281","2,22,563",39.65,ASIANPAINT
21,,EQ,28-Feb-2023,"2,749.90","2,750.00","2,839.00","2,727.45","2,832.85","2,828.80","2,808.68","18,15,923","5,10,03,43,163.40","79,782","9,62,047",52.98,ASIANPAINT
22,,EQ,01-Mar-2023,"2,828.80","2,828.00","2,853.30","2,816.05","2,844.00","2,840.90","2,837.61","8,16,598","2,31,71,83,671.20","58,148","4,54,416",55.65,ASIANPAINT
23,,EQ,02-Mar-2023,"2,840.90","2,831.00","2,849.00","2,811.00","2,833.00","2,833.90","2,832.79","6,04,523","1,71,24,88,953.55","44,537","3,20,090",52.95,ASIANPAINT
24,,EQ,03-Mar-2023,"2,833.90","2,837.05","2,852.00","2,810.65","2,830.15","2,828.85","2,826.34","6,79,295","1,91,99,21,555.35","64,015","3,34,510",49.24,ASIANPAINT
25,,EQ,06-Mar-2023,"2,828.85","2,843.00","2,884.00","2,830.25","2,861.60","2,864.55","2,869.75","10,50,267","3,01,39,98,661.15","74,159","5,38,941",51.31,ASIANPAINT
26,,EQ,08-Mar-2023,"2,864.55","2,870.00","2,870.00","2,827.00","2,857.00","2,859.55","2,850.88","5,80,250","1,65,42,25,600.65","50,105","2,98,968",51.52,ASIANPAINT
27,,EQ,09-Mar-2023,"2,859.55","2,862.00","2,872.45","2,836.85","2,856.00","2,853.55","2,855.48","7,74,224","2,21,07,82,913.25","51,928","4,66,051",60.20,ASIANPAINT
28,,EQ,10-Mar-2023,"2,853.55","2,844.00","2,844.00","2,807.00","2,828.00","2,830.20","2,827.55","4,89,978","1,38,54,36,170.85","54,387","2,34,395",47.84,ASIANPAINT
29,,EQ,13-Mar-2023,"2,830.20","2,823.50","2,849.45","2,772.20","2,790.00","2,784.20","2,807.41","8,13,217","2,28,30,30,123.30","86,773","4,56,435",56.13,ASIANPAINT
30,,EQ,14-Mar-2023,"2,784.20","2,782.95","2,786.95","2,740.05","2,746.00","2,745.60","2,758.21","10,60,450","2,92,49,44,075.85","1,19,748","6,53,974",61.67,ASIANPAINT
31,,EQ,15-Mar-2023,"2,745.60","2,772.20","2,866.35","2,765.20","2,831.10","2,827.40","2,831.84","21,70,346","6,14,60,77,444.20","1,27,214","7,77,995",35.85,ASIANPAINT
32,,EQ,16-Mar-2023,"2,827.40","2,850.00","2,900.00","2,828.70","2,896.55","2,893.25","2,874.46","17,55,487","5,04,60,76,223.35","1,34,035","9,23,687",52.62,ASIANPAINT
33,,EQ,17-Mar-2023,"2,893.25","2,923.95","2,923.95","2,855.05","2,862.25","2,862.65","2,886.09","18,48,073","5,33,37,14,114.95","1,05,428","11,10,569",60.09,ASIANPAINT
34,,EQ,20-Mar-2023,"2,862.65","2,915.00","2,915.00","2,831.05","2,852.00","2,855.15","2,847.77","10,74,367","3,05,95,54,893.60","85,228","6,35,543",59.16,ASIANPAINT
35,,EQ,21-Mar-2023,"2,855.15","2,858.15","2,887.00","2,835.00","2,839.75","2,839.10","2,855.35","6,91,891","1,97,55,89,123.55","80,855","3,69,125",53.35,ASIANPAINT
