,Date,OpenPrice,ClosePrice,HighPrice,LowPrice
90,13-Jun-2023,1735.00,1737.95,1747.00,1728.85
91,14-Jun-2023,1745.00,1779.35,1784.80,1737.00
92,15-Jun-2023,1789.00,1772.50,1799.90,1760.50
93,16-Jun-2023,1778.40,1780.75,1789.75,1771.05
94,19-Jun-2023,1789.25,1761.30,1794.55,1754.10
95,20-Jun-2023,1767.00,1769.10,1772.75,1744.75
96,21-Jun-2023,1770.00,1777.90,1780.00,1757.00
97,22-Jun-2023,1786.10,1750.30,1790.00,1746.65
98,23-Jun-2023,1749.95,1716.10,1749.95,1711.20
99,26-Jun-2023,1716.00,1726.80,1731.05,1696.00
100,27-Jun-2023,1726.05,1733.15,1736.50,1713.40
101,28-Jun-2023,1735.95,1743.10,1754.70,1734.00
102,30-Jun-2023,1745.00,1734.65,1757.95,1730.75
103,03-Jul-2023,1750.00,1793.70,1798.00,1736.10
104,04-Jul-2023,1800.00,1769.55,1805.00,1758.70
105,05-Jul-2023,1770.00,1777.90,1784.30,1763.65
106,06-Jul-2023,1777.90,1768.05,1783.80,1765.00
107,07-Jul-2023,1768.05,1743.30,1770.70,1737.00
108,10-Jul-2023,1754.85,1743.00,1759.25,1733.25
109,11-Jul-2023,1743.80,1767.70,1773.95,1743.80
110,12-Jul-2023,1767.65,1777.85,1784.40,1757.05
111,13-Jul-2023,1779.00,1759.80,1783.90,1753.50
112,14-Jul-2023,1762.55,1753.20,1768.95,1743.65
113,17-Jul-2023,1753.20,1793.05,1795.00,1748.60
114,18-Jul-2023,1790.05,1775.05,1799.00,1767.85
115,19-Jul-2023,1772.10,1784.20,1788.55,1770.70
116,20-Jul-2023,1785.00,1819.45,1823.10,1777.05
117,21-Jul-2023,1820.00,1804.60,1824.95,1790.00
118,24-Jul-2023,1796.00,1813.05,1842.80,1790.05
119,25-Jul-2023,1814.00,1829.05,1842.80,1812.05
120,26-Jul-2023,1833.00,1839.10,1849.00,1829.10
121,27-Jul-2023,1842.15,1822.50,1848.75,1815.00
122,28-Jul-2023,1818.50,1823.80,1834.90,1810.00
123,31-Jul-2023,1830.00,1849.45,1854.70,1820.80
124,01-Aug-2023,1852.00,1837.70,1855.00,1824.65
125,02-Aug-2023,1832.70,1821.00,1839.90,1806.05
126,03-Aug-2023,1808.00,1830.55,1834.60,1794.20
127,04-Aug-2023,1830.55,1825.45,1845.95,1820.15
128,07-Aug-2023,1826.90,1855.60,1864.95,1826.05
129,08-Aug-2023,1857.70,1844.45,1868.40,1831.80
130,09-Aug-2023,1844.95,1845.65,1849.95,1827.45
131,10-Aug-2023,1835.10,1830.30,1855.00,1824.05
132,11-Aug-2023,1828.80,1827.55,1840.00,1808.50
133,14-Aug-2023,1824.95,1811.75,1835.00,1793.80
134,16-Aug-2023,1812.00,1816.90,1820.00,1785.55
135,17-Aug-2023,1810.00,1800.85,1812.45,1793.70
136,18-Aug-2023,1795.00,1790.95,1800.85,1785.65
137,21-Aug-2023,1790.95,1808.40,1813.00,1790.00
138,22-Aug-2023,1810.00,1805.80,1825.00,1798.05
139,23-Aug-2023,1810.00,1797.65,1815.00,1793.00
140,24-Aug-2023,1805.00,1778.05,1813.45,1771.00
141,25-Aug-2023,1760.00,1776.25,1782.65,1758.05
142,28-Aug-2023,1777.95,1784.65,1790.00,1768.30
143,29-Aug-2023,1785.00,1801.80,1806.95,1779.10
144,30-Aug-2023,1805.00,1806.65,1824.90,1799.85
145,31-Aug-2023,1806.65,1790.95,1819.00,1781.85
146,01-Sep-2023,1790.00,1811.50,1825.00,1787.90
147,04-Sep-2023,1815.05,1841.05,1850.70,1815.00
148,05-Sep-2023,1852.45,1853.80,1872.00,1844.50
149,06-Sep-2023,1855.00,1838.50,1859.00,1817.00
150,07-Sep-2023,1832.00,1847.40,1851.10,1825.55
151,08-Sep-2023,1847.40,1849.75,1856.25,1840.10
152,11-Sep-2023,1849.75,1862.35,1869.10,1845.80
153,12-Sep-2023,1865.00,1870.95,1920.00,1836.00
154,13-Sep-2023,1879.00,1933.00,1946.50,1855.65
155,14-Sep-2023,1943.00,1931.60,1954.00,1918.55
156,15-Sep-2023,1942.00,1972.85,1987.95,1932.75
157,18-Sep-2023,1980.00,1957.45,1988.10,1953.00
158,20-Sep-2023,1957.45,1944.70,1960.00,1930.00
159,21-Sep-2023,1932.10,1911.50,1940.00,1896.10
160,22-Sep-2023,1906.70,1911.95,1928.95,1889.30
161,25-Sep-2023,1911.95,1939.85,1945.95,1901.90
162,26-Sep-2023,1944.95,1958.00,1959.90,1936.25
163,27-Sep-2023,1966.85,1931.10,1966.85,1923.05
164,28-Sep-2023,1930.00,1906.50,1937.95,1896.60
165,29-Sep-2023,1909.70,1942.40,1951.00,1909.65
166,03-Oct-2023,1928.10,1921.45,1939.00,1906.65
167,04-Oct-2023,1906.00,1895.85,1910.00,1877.05
168,05-Oct-2023,1897.10,1890.15,1909.00,1881.00
169,06-Oct-2023,1890.10,1903.30,1905.90,1890.00
170,09-Oct-2023,1890.05,1889.00,1896.90,1875.10
171,10-Oct-2023,1892.95,1918.90,1922.50,1886.50
